
/home/dl/anaconda3/envs/ly_transmvs/bin/python /home/dl/ly_pro/3DRecon/Recon_Ablation/Mobile_trans0918/train.py --logdir=./outputs/dtu_training --dataset=dtu_yao --batch_size=6 --epochs=16 --trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/ --trainlist=lists/dtu/train.txt --testlist=lists/dtu/val.txt --numdepth=192 --ndepths=32,16,8,4 --nviews=5 --wd=0.0001 --depth_inter_r=8.0, 4.0,1.0,0.5 --lrepochs=6,8,12:2 --dlossw=1.0,1.0,1.0,1.0
current time 20230919_164239
creating new summary file
argv: ['--logdir=./outputs/dtu_training', '--dataset=dtu_yao', '--batch_size=6', '--epochs=16', '--trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/', '--trainlist=lists/dtu/train.txt', '--testlist=lists/dtu/val.txt', '--numdepth=192', '--ndepths=32,16,8,4', '--nviews=5', '--wd=0.0001', '--depth_inter_r=8.0, 4.0,1.0,0.5', '--lrepochs=6,8,12:2', '--dlossw=1.0,1.0,1.0,1.0']
################################  args  ################################
mode      	train                         	<class 'str'>
model     	mvsnet                        	<class 'str'>
device    	cuda                          	<class 'str'>
dataset   	dtu_yao                       	<class 'str'>
trainpath 	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
testpath  	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
trainlist 	lists/dtu/train.txt           	<class 'str'>
testlist  	lists/dtu/val.txt             	<class 'str'>
epochs    	16                            	<class 'int'>
lr        	0.001                         	<class 'float'>
lrepochs  	6,8,12:2                      	<class 'str'>
wd        	0.0001                        	<class 'float'>
nviews    	5                             	<class 'int'>
batch_size	6                             	<class 'int'>
numdepth  	192                           	<class 'int'>
interval_scale	1.06                          	<class 'float'>
loadckpt  	None                          	<class 'NoneType'>
logdir    	./outputs/dtu_training        	<class 'str'>
resume    	False                         	<class 'bool'>
summary_freq	10                            	<class 'int'>
save_freq 	1                             	<class 'int'>
eval_freq 	1                             	<class 'int'>
seed      	1                             	<class 'int'>
pin_m     	False                         	<class 'bool'>
local_rank	0                             	<class 'int'>
share_cr  	False                         	<class 'bool'>
ndepths   	32,16,8,4                     	<class 'str'>
fea_channels	64,32,16,8                    	<class 'str'>
depth_inter_r	8.0, 4.0,1.0,0.5              	<class 'str'>
dlossw    	1.0,1.0,1.0,1.0               	<class 'str'>
cr_base_chs	8,8,8,4                       	<class 'str'>
grad_method	detach                        	<class 'str'>
using_apex	False                         	<class 'bool'>
sync_bn   	False                         	<class 'bool'>
opt_level 	O0                            	<class 'str'>
keep_batchnorm_fp32	None                          	<class 'NoneType'>
loss_scale	None                          	<class 'NoneType'>
########################################################################
**********netphs:[32, 16, 8, 4], depth_intervals_ratio:[8.0, 4.0, 1.0, 0.5],  grad:detach, chs:[8, 8, 8, 4]************
start at epoch 0
Number of model parameters: 3503673
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 6174
/home/dl/anaconda3/envs/ly_transmvs/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 0/16, Iter 0/4516, lr 0.000335, train loss = 19.949, depth loss = 155.916, entropy loss = 19.949, time = 7.534
Epoch 0/16, Iter 10/4516, lr 0.000348, train loss = 17.122, depth loss = 120.976, entropy loss = 17.122, time = 1.607
Epoch 0/16, Iter 20/4516, lr 0.000361, train loss = 16.672, depth loss = 94.526, entropy loss = 16.672, time = 1.720
Epoch 0/16, Iter 30/4516, lr 0.000375, train loss = 14.337, depth loss = 34.118, entropy loss = 14.337, time = 1.733
Epoch 0/16, Iter 40/4516, lr 0.000388, train loss = 13.882, depth loss = 41.928, entropy loss = 13.882, time = 1.800
Epoch 0/16, Iter 50/4516, lr 0.000401, train loss = 14.412, depth loss = 60.825, entropy loss = 14.412, time = 1.596
Epoch 0/16, Iter 60/4516, lr 0.000415, train loss = 12.032, depth loss = 27.586, entropy loss = 12.032, time = 1.803
Epoch 0/16, Iter 70/4516, lr 0.000428, train loss = 12.952, depth loss = 38.378, entropy loss = 12.952, time = 1.582
Epoch 0/16, Iter 80/4516, lr 0.000441, train loss = 13.571, depth loss = 48.955, entropy loss = 13.571, time = 1.601
Epoch 0/16, Iter 90/4516, lr 0.000455, train loss = 12.273, depth loss = 26.224, entropy loss = 12.273, time = 1.599
Epoch 0/16, Iter 100/4516, lr 0.000468, train loss = 11.287, depth loss = 25.931, entropy loss = 11.287, time = 1.569
Epoch 0/16, Iter 110/4516, lr 0.000481, train loss = 11.513, depth loss = 41.011, entropy loss = 11.513, time = 1.586
Epoch 0/16, Iter 120/4516, lr 0.000495, train loss = 12.192, depth loss = 34.279, entropy loss = 12.192, time = 1.588
Epoch 0/16, Iter 130/4516, lr 0.000508, train loss = 12.361, depth loss = 32.823, entropy loss = 12.361, time = 1.573
Epoch 0/16, Iter 140/4516, lr 0.000521, train loss = 12.186, depth loss = 32.748, entropy loss = 12.186, time = 1.579
Epoch 0/16, Iter 150/4516, lr 0.000535, train loss = 11.377, depth loss = 20.288, entropy loss = 11.377, time = 1.580
Epoch 0/16, Iter 160/4516, lr 0.000548, train loss = 11.817, depth loss = 26.563, entropy loss = 11.817, time = 1.585
Epoch 0/16, Iter 170/4516, lr 0.000561, train loss = 11.342, depth loss = 20.668, entropy loss = 11.342, time = 1.575
Epoch 0/16, Iter 180/4516, lr 0.000575, train loss = 11.358, depth loss = 26.865, entropy loss = 11.358, time = 1.576
Epoch 0/16, Iter 190/4516, lr 0.000588, train loss = 10.442, depth loss = 10.360, entropy loss = 10.442, time = 1.578
Epoch 0/16, Iter 200/4516, lr 0.000601, train loss = 12.449, depth loss = 32.788, entropy loss = 12.449, time = 1.580
Epoch 0/16, Iter 210/4516, lr 0.000615, train loss = 11.201, depth loss = 23.586, entropy loss = 11.201, time = 1.589
Epoch 0/16, Iter 220/4516, lr 0.000628, train loss = 10.519, depth loss = 21.295, entropy loss = 10.519, time = 1.564
Epoch 0/16, Iter 230/4516, lr 0.000641, train loss = 10.995, depth loss = 14.192, entropy loss = 10.995, time = 1.578
Epoch 0/16, Iter 240/4516, lr 0.000655, train loss = 11.184, depth loss = 17.249, entropy loss = 11.184, time = 1.575
Epoch 0/16, Iter 250/4516, lr 0.000668, train loss = 11.150, depth loss = 20.299, entropy loss = 11.150, time = 1.576
Epoch 0/16, Iter 260/4516, lr 0.000681, train loss = 11.506, depth loss = 23.179, entropy loss = 11.506, time = 1.571
Epoch 0/16, Iter 270/4516, lr 0.000695, train loss = 10.738, depth loss = 16.950, entropy loss = 10.738, time = 1.579
